id,pays
106,Afghanistan
752,Albania
5,Algeria
129504,American Samoa
753,Andorra
6,Angola
129514,Anguilla
359,Antigua Barbuda
1649,Argentina
754,Armenia
360,Aruba
1435,Australia
755,Austria
756,Azerbaijan
388,Bahamas
107,Bahrain
108,Bangladesh
361,Barbados
758,Belarus
757,Belgium
362,Belize
7,Benin
363,Bermuda
131012,Bhutan
1650,Bolivia
214395,Bonaire
759,Bosnia Herzegovina
8,Botswana
1651,Brazil
129517,British Virgin Islands
109,Brunei
760,Bulgaria
9,Burkina Faso
5630219,Burma
10,Burundi
574,C.I.S.
118,Cambodia
11,Cameroon
364,Canada
12,Cape Verde
365,Cayman Islands
13,Central African Republic
14,Chad
1652,Chile
110,China
138,Chinese Taipei
1653,Colombia
919586,Comoros
49,Congo
1436,Cook Islands
366,Costa Rica
761,Croatia
367,Cuba
380,Curacao
762,Cyprus
763,Czech Republic
575,Czechoslovakia
764,Denmark
15,Djibouti
368,Dominica
142527,Dominican Republic
53,DR Congo
577,E Germany
5626837,East Timor
1654,Ecuador
16,Egypt
370,El Salvador
765,England
17,Equatorial Guinea
129511,Eritrea
766,Estonia
18,Ethiopia
767,Faroe Islands
1437,Fiji
768,Finland
769,France
917496,French Guiana
781,FYR Macedonia
19,Gabon
20,Gambia
770,Georgia
771,Germany
21,Ghana
214394,Gibraltar
145174,Great Britain
772,Greece
371,Grenada
917498,Guadeloupe
129508,Guam
373,Guatemala
22,Guinea
23,Guinea-Bissau
374,Guyana
375,Haiti
784,Holland
376,Honduras
111,Hong Kong
773,Hungary
774,Iceland
112,India
113,Indonesia
114,Iran
115,Iraq
52024163,Ireland
115,Israel
116,Italy
377,Jamaica
117,Japan
785,Jordan
786,Kazakhstan
24,Kenya
787,Kuwait
788,Kyrgyzstan
119,Laos
789,Latvia
25,Lebanon
26,Lesotho
27,Liberia
120,Libya
790,Liechtenstein
791,Lithuania
792,Luxembourg
793,Macao
794,Madagascar
28,Malawi
121,Malaysia
378,Maldives
29,Mali
795,Malta
379,Marshall Islands
917499,Martinique
30,Mauritania
122,Mauritius
1656,Mexico
796,Moldova
797,Monaco
123,Mongolia
1657,Montenegro
381,Montserrat
31,Morocco
32,Mozambique
124,Myanmar
33,Namibia
382,Nauru
125,Nepal
798,Netherlands
383,Netherlands Antilles
384,New Caledonia
1438,New Zealand
1658,Nicaragua
34,Niger
35,Nigeria
799,N Ireland
800,Norway
126,Oman
127,Pakistan
385,Palau
1659,Palestine
1660,Panama
386,Papua New Guinea
1661,Paraguay
1662,Peru
128,Philippines
801,Poland
788,Portugal
129,Puerto Rico
130,Qatar
802,Republic of Ireland
803,Romania
131,Russia
36,Rwanda
387,Saint Kitts Nevis
388,Saint Lucia
389,Saint Vincent Grenadines
390,Samoa
804,San Marino
37,Sao Tome Principe
132,Saudi Arabia
38,Senegal
805,Serbia
806,Serbia Montenegro
391,Seychelles
39,Sierra Leone
133,Singapore
807,Slovakia
808,Slovenia
392,Solomon Islands
40,Somalia
45,South Africa
1663,South Korea
809,Spain
134,Sri Lanka
41,Sudan
1664,Suriname
810,Swaziland
811,Sweden
812,Switzerland
135,Syria
813,Tajikistan
42,Tanzania
136,Thailand
43,Togo
393,Tonga
394,Trinidad Tobago
44,Tunisia
137,Turkey
814,Turkmenistan
395,Turks Caicos Islands
396,Tuvalu
46,Uganda
815,Ukraine
138,United Arab Emirates
1439,United States
1665,Uruguay
139,Uzbekistan
397,Vanuatu
816,Vatican City
1666,Venezuela
140,Vietnam
398,Virgin Islands
817,Wales
141,Yemen
47,Zambia
48,Zimbabwe
